CustomerID,Gender,Age,Region,MembershipLevel,VisitCount,AveragePurchaseAmount,TotalPurchaseAmount,SatisfactionScore,LastPurchaseDate,CouponUsed,PreferredCategory,SignupDate,Email,PurchaseStatus,AgeGroup,PurchaseGrade
CUST100140,Female,29.0,Busan,Silver,9.0,174700.0,378900.0,2.5,2026-02-03,Y,electronics,2024-01-05,customer140@example.com,0,20대 이하,Medium
CUST100883,Female,43.0,Gyeonggi,Basic,7.0,113600.0,360500.0,3.9,2026-01-15,Y,sports,2022-02-13,customer883@example.com,0,40대,Medium
CUST100658,Female,50.0,Seoul,Basic,4.0,53600.0,98500.0,3.8,2026-06-12,N,food,2022-07-26,customer658@example.com,0,50대,Low
CUST100195,Female,18.0,Seoul,Basic,7.0,32000.0,114300.0,4.8,2026-06-12,N,fashion,2025-11-17,customer195@example.com,0,20대 이하,Low
CUST100201,Female,45.0,Gyeonggi,Gold,13.0,222500.0,998300.0,2.7,2026-04-02,N,home,2024-08-08,customer201@example.com,1,40대,High
CUST100803,Female,25.0,Seoul,Basic,10.0,114400.0,434400.0,3.4,2026-05-23,Y,food,2020-08-18,customer803@example.com,1,20대 이하,Medium
CUST100148,Female,57.0,Incheon,Silver,9.0,99600.0,207200.0,2.9,2026-05-26,N,food,2021-04-07,customer148@example.com,0,50대,Medium
CUST101071,Female,56.0,Daejeon,Basic,10.0,87700.0,320000.0,2.4,2026-05-28,Y,sports,2025-01-01,customer1071@example.com,0,50대,Medium
CUST100419,Female,20.0,Seoul,Basic,6.0,102300.0,225100.0,2.2,2026-06-11,N,fashion,2023-08-19,customer419@example.com,0,20대 이하,Medium
CUST100567,Female,54.0,Seoul,Basic,9.0,145500.0,469900.0,4.5,2026-05-07,N,sports,2020-07-31,customer567@example.com,1,50대,Medium
CUST100783,Female,22.0,Gyeonggi,Basic,4.0,49700.0,42300.0,2.2,2026-03-19,N,fashion,2024-07-22,customer783@example.com,0,20대 이하,Low
CUST101360,Female,42.0,Seoul,Gold,7.0,137900.0,143200.0,3.1,2026-04-29,Y,food,2023-06-07,customer1360@example.com,0,40대,Low
CUST101252,Female,46.0,Busan,Basic,9.0,97500.0,498600.0,5.0,2025-12-07,Y,beauty,2020-08-21,customer1252@example.com,0,40대,Medium
CUST101204,Female,51.0,Seoul,Silver,7.0,140300.0,276100.0,2.6,2026-06-04,N,home,2021-11-10,customer1204@example.com,0,50대,Medium
CUST100911,Female,25.0,Seoul,Gold,12.0,145900.0,642700.0,3.4,2026-06-21,N,beauty,2023-11-16,customer911@example.com,1,20대 이하,High
CUST100343,Female,42.0,Gyeonggi,Basic,5.0,23100.0,45100.0,4.1,2026-01-23,N,fashion,2022-10-24,customer343@example.com,0,40대,Low
CUST100259,Female,26.0,Seoul,gold,12.0,112600.0,366200.0,4.1,2025-11-15,N,food,2024-01-08,customer259@example.com,0,20대 이하,Medium
CUST100056,Female,21.0,Seoul,Basic,10.0,73400.0,166300.0,4.7,2026-04-13,N,fashion,2023-01-17,customer56@example.com,0,20대 이하,Low
CUST100405,Female,41.0,Daejeon,Silver,7.0,110900.0,197500.0,4.2,2026-04-25,N,beauty,2025-09-27,customer405@example.com,1,40대,Medium
CUST100053,Female,44.0,Busan,Basic,6.0,117900.0,209800.0,3.7,2026-05-31,N,fashion,2020-08-20,customer53@example.com,1,40대,Medium
CUST101233,Female,44.0,Gyeonggi,Gold,8.0,135800.0,237800.0,4.0,2026-05-25,Y,fashion,2022-07-03,customer1233@example.com,1,40대,Medium
CUST100522,Female,46.0,Gwangju,Basic,14.0,145600.0,660300.0,4.4,2026-02-07,Y,fashion,2025-10-20,customer522@example.com,1,40대,High
CUST100978,Female,28.0,Daegu,Basic,14.0,131700.0,1075975.0,4.1,2026-03-08,N,fashion,2022-06-24,customer978@example.com,1,20대 이하,High
CUST100261,Female,25.0,Incheon,VIP,4.0,156600.0,314300.0,3.7,2026-05-20,Y,sports,2025-05-15,customer261@example.com,1,20대 이하,Medium
CUST100459,Female,47.0,Daejeon,Basic,4.0,5000.0,10700.0,3.8,2026-05-30,N,home,2022-12-18,customer459@example.com,0,40대,Low
CUST100283,Female,38.0,Seoul,Silver,8.0,101300.0,363900.0,3.6,2026-04-18,N,sports,2024-06-22,customer283@example.com,0,30대,Medium
CUST100599,Female,29.0,Daegu,VIP,10.0,241900.0,645200.0,3.6,2026-04-21,N,food,2021-12-31,customer599@example.com,1,20대 이하,High
CUST100888,Female,54.0,Busan,Silver,8.0,195400.0,858800.0,3.4,2026-05-12,N,electronics,2024-12-14,customer888@example.com,1,50대,High
CUST100554,Female,49.0,Gyeonggi,Silver,12.0,116900.0,378300.0,3.2,2026-01-02,Y,electronics,2021-06-10,customer554@example.com,0,40대,Medium
CUST100848,Female,27.0,Gwangju,VIP,16.0,254775.0,1075975.0,4.3,2026-04-28,Y,beauty,2020-10-06,customer848@example.com,1,20대 이하,High
CUST101052,Female,47.0,Gwangju,Gold,5.0,136500.0,408100.0,2.4,2026-05-18,Y,home,2022-04-02,customer1052@example.com,1,40대,Medium
CUST100127,Female,39.0,Daegu,Basic,6.0,13700.0,28100.0,2.8,2026-04-30,N,home,2023-09-26,customer127@example.com,0,30대,Low
CUST100311,Female,46.0,Busan,Basic,7.0,108700.0,319900.0,5.0,2026-04-22,N,food,2020-11-13,customer311@example.com,0,40대,Medium
CUST100828,Female,50.0,Incheon,Basic,15.0,112500.0,810200.0,4.2,2026-04-23,Y,fashion,2021-07-29,customer828@example.com,1,50대,High
CUST100425,Female,22.0,Gyeonggi,Basic,10.0,103200.0,228800.0,4.9,2026-06-20,N,sports,2025-03-30,customer425@example.com,1,20대 이하,Medium
CUST101257,Female,43.0,Gwangju,Basic,13.0,154600.0,452600.0,3.2,2026-04-04,N,fashion,2023-04-09,customer1257@example.com,1,40대,Medium
CUST100520,Female,43.0,Gwangju,Basic,9.0,96100.0,337200.0,3.2,2026-04-29,Y,home,2022-08-11,customer520@example.com,1,40대,Medium
CUST101042,Female,27.0,Incheon,Basic,10.0,95800.0,322600.0,3.9,2025-11-30,N,food,2025-12-04,customer1042@example.com,1,20대 이하,Medium
CUST100115,Female,51.0,Gyeonggi,Silver,7.0,116900.0,475900.0,4.8,2026-05-23,Y,sports,2023-01-26,customer115@example.com,1,50대,Medium
CUST100966,Female,40.0,Busan,Basic,4.0,86500.0,156000.0,3.1,2026-05-25,N,food,2022-02-13,customer966@example.com,0,40대,Low
CUST100898,Female,39.0,Seoul,Silver,6.0,51300.0,159700.0,2.7,2026-06-22,N,fashion,2020-07-21,customer898@example.com,0,30대,Low
CUST100158,Female,37.0,Seoul,VIP,10.0,213600.0,597100.0,3.9,2026-02-06,N,food,2024-07-09,customer158@example.com,1,30대,High
CUST100480,Female,50.0,Seoul,Basic,6.0,87600.0,89000.0,4.3,2026-05-03,N,beauty,2024-05-02,customer480@example.com,0,50대,Low
CUST100734,Female,39.0,Gyeonggi,Silver,9.0,110000.0,245700.0,3.3,2026-03-29,N,home,2023-09-23,customer734@example.com,0,30대,Medium
CUST101379,Female,62.0,Busan,Basic,7.0,45100.0,97400.0,4.2,2026-04-19,N,sports,2025-06-24,customer1379@example.com,0,60대 이상,Low
CUST100206,Female,27.0,Gyeonggi,Silver,14.0,132800.0,628300.0,3.6,2026-04-11,Y,sports,2024-05-18,customer206@example.com,0,20대 이하,High
CUST101293,Female,43.0,Busan,Basic,5.0,172000.0,483700.0,4.1,2026-05-11,Y,electronics,2024-02-12,customer1293@example.com,1,40대,Medium
CUST100042,Female,44.0,Seoul,Silver,5.0,131000.0,288900.0,2.7,2026-04-20,N,fashion,2022-10-15,customer42@example.com,0,40대,Medium
CUST100411,Male,24.0,Gyeonggi,Gold,10.0,155700.0,276800.0,3.6,2026-04-17,Y,sports,2022-03-31,customer411@example.com,1,20대 이하,Medium
CUST100884,Female,22.0,Incheon,Basic,12.0,87500.0,517800.0,4.7,2026-02-11,Y,fashion,2024-06-21,customer884@example.com,0,20대 이하,Medium
CUST100469,Female,30.0,Gyeonggi,Silver,17.0,212700.0,701600.0,3.9,2025-12-21,Y,electronics,2022-12-23,customer469@example.com,1,30대,High
CUST100463,Female,41.0,Gwangju,gold,9.0,44900.0,149500.0,2.4,2026-04-20,N,fashion,2023-06-03,customer463@example.com,0,40대,Low
CUST100299,Female,36.0,Incheon,Basic,12.0,95400.0,517600.0,3.2,2026-03-24,N,food,2022-05-22,customer299@example.com,1,30대,Medium
CUST101254,Female,28.0,Gyeonggi,Basic,9.0,131600.0,404200.0,5.0,2026-06-05,Y,food,2021-09-27,customer1254@example.com,1,20대 이하,Medium
CUST100146,Female,33.0,Gyeonggi,Basic,8.0,45600.0,47900.0,2.3,2026-05-29,Y,food,2024-04-30,customer146@example.com,0,30대,Low
CUST100701,Female,34.0,Busan,Basic,7.0,124400.0,408900.0,4.3,2026-05-31,Y,beauty,2020-08-10,customer701@example.com,1,30대,Medium
CUST100590,Female,46.0,Daegu,Silver,10.0,122600.0,675000.0,3.1,2026-01-30,Y,food,2021-06-09,customer590@example.com,0,40대,High
CUST101301,Female,22.0,Gyeonggi,Gold,8.0,180100.0,335600.0,3.4,2026-04-29,N,electronics,2021-10-13,customer1301@example.com,1,20대 이하,Medium
CUST100103,Female,37.0,Daejeon,Basic,5.0,69900.0,178900.0,4.2,2026-03-22,N,food,2025-05-26,customer103@example.com,1,30대,Low
CUST100527,Female,41.0,Seoul,Basic,7.0,50000.0,98800.0,3.3,2026-04-17,N,home,2022-11-21,customer527@example.com,0,40대,Low
CUST100791,Female,34.0,Busan,Silver,12.0,207400.0,1075975.0,3.3,2026-02-09,Y,sports,2021-07-04,customer791@example.com,1,30대,High
CUST101372,Female,25.0,Seoul,Silver,8.0,59900.0,221100.0,4.6,2026-03-28,N,food,2025-12-16,customer1372@example.com,1,20대 이하,Medium
CUST101218,Female,63.0,Seoul,Gold,8.0,127200.0,439700.0,4.0,2026-03-06,N,beauty,2024-07-22,customer1218@example.com,1,60대 이상,Medium
CUST100214,Female,38.0,Seoul,VIP,11.0,235200.0,811300.0,3.3,2026-06-07,N,electronics,2023-11-02,customer214@example.com,1,30대,High
CUST101196,Female,39.0,Gyeonggi,Gold,12.0,91500.0,176900.0,3.8,2026-02-01,Y,food,2020-10-16,customer1196@example.com,1,30대,Low
CUST100991,Female,39.0,Seoul,Silver,11.0,169800.0,389500.0,3.9,2026-01-15,N,fashion,2023-06-01,customer991@example.com,0,30대,Medium
CUST100598,Female,50.0,Gwangju,Silver,10.0,126100.0,262700.0,2.2,2026-05-12,N,beauty,2020-09-14,customer598@example.com,0,50대,Medium
CUST100455,Female,34.0,Seoul,Silver,17.0,116300.0,121000.0,3.0,2026-03-14,Y,fashion,2025-10-25,customer455@example.com,0,30대,Low
CUST100307,Female,39.0,Seoul,Gold,7.0,145300.0,394300.0,2.5,2026-03-07,N,fashion,2023-08-01,customer307@example.com,0,30대,Medium
CUST100914,Female,34.0,Daejeon,Basic,9.0,56000.0,52300.0,3.7,2026-03-13,N,food,2025-11-15,customer914@example.com,0,30대,Low
CUST100014,Female,50.0,Daegu,Silver,12.0,162300.0,1075975.0,4.1,2026-03-06,Y,electronics,2025-12-21,customer14@example.com,1,50대,High
CUST100046,Female,26.0,Gwangju,Silver,10.0,150400.0,460200.0,4.7,2026-05-07,Y,fashion,2022-07-14,customer46@example.com,1,20대 이하,Medium
CUST101057,Female,31.0,Gyeonggi,Basic,7.0,103500.0,286300.0,3.3,2026-05-17,N,food,2025-12-24,customer1057@example.com,0,30대,Medium
CUST100592,Female,38.0,Seoul,Silver,11.0,133800.0,833100.0,4.6,2026-05-28,N,beauty,2022-02-26,customer592@example.com,1,30대,High
CUST100625,Female,33.0,Gyeonggi,Silver,10.0,106500.0,465300.0,4.5,2026-03-07,Y,home,2025-06-28,customer625@example.com,1,30대,Medium
CUST101043,Female,31.0,Seoul,VIP,6.0,254775.0,777400.0,3.2,2026-05-24,Y,food,2021-11-13,customer1043@example.com,1,30대,High
CUST101190,Female,45.0,Gyeonggi,Basic,4.0,64700.0,118600.0,4.3,2026-05-23,Y,home,2024-08-11,customer1190@example.com,0,40대,Low
CUST100595,Female,42.0,Gyeonggi,Basic,10.0,143400.0,728100.0,3.0,2026-04-28,N,food,2021-08-17,customer595@example.com,0,40대,High
CUST100391,Female,41.0,Seoul,Silver,8.0,146900.0,406900.0,3.2,2026-05-18,Y,food,2023-11-27,customer391@example.com,1,40대,Medium
CUST100501,Female,47.0,Daegu,SILVER,11.0,92600.0,417900.0,4.4,2026-04-28,N,food,2021-05-15,customer501@example.com,1,40대,Medium
CUST100218,Female,32.0,Seoul,Basic,16.0,154200.0,475100.0,2.7,2026-05-23,N,home,2025-06-09,customer218@example.com,1,30대,Medium
CUST100576,Female,42.0,Daejeon,Gold,5.0,202000.0,390900.0,4.4,2026-04-09,Y,beauty,2023-04-07,customer576@example.com,1,40대,Medium
CUST100766,Female,49.0,Gyeonggi,Gold,7.0,205300.0,217500.0,4.5,2026-03-08,Y,home,2021-03-07,customer766@example.com,1,40대,Medium
CUST100647,Female,53.0,Incheon,Gold,9.0,162200.0,485300.0,4.3,2026-04-04,N,food,2025-04-21,customer647@example.com,1,50대,Medium
CUST101132,Female,18.0,Seoul,Gold,7.0,129100.0,120300.0,3.5,2026-06-20,N,fashion,2023-08-14,customer1132@example.com,0,20대 이하,Low
CUST100001,Female,60.0,Gyeonggi,Basic,9.0,106900.0,475000.0,4.2,2026-05-31,N,home,2024-09-25,customer1@example.com,1,60대 이상,Medium
CUST100061,Female,48.0,Daegu,VIP,15.0,174800.0,747800.0,3.2,2026-06-25,N,beauty,2021-09-29,customer61@example.com,1,40대,High
CUST101460,Female,53.0,Gyeonggi,Silver,10.0,133400.0,364900.0,3.1,2026-02-19,N,home,2021-04-26,customer1460@example.com,0,50대,Medium
CUST100325,Female,51.0,Gwangju,Gold,11.0,198400.0,1075975.0,3.3,2026-01-26,N,food,2025-11-13,customer325@example.com,1,50대,High
CUST100019,Female,33.0,Gyeonggi,Basic,9.0,72100.0,313900.0,3.7,2026-02-12,N,beauty,2022-03-02,customer19@example.com,0,30대,Medium
CUST101200,Female,18.0,Busan,Basic,9.0,61300.0,196000.0,3.0,2025-12-15,N,fashion,2025-05-23,customer1200@example.com,0,20대 이하,Medium
CUST101056,Female,44.0,Busan,Silver,10.0,96600.0,450400.0,1.8,2025-12-24,N,home,2021-02-11,customer1056@example.com,0,40대,Medium
CUST100890,Female,38.0,Busan,Basic,8.0,71000.0,186500.0,3.6,2026-05-21,Y,beauty,2023-06-12,customer890@example.com,0,30대,Medium
CUST100495,Female,50.0,Gyeonggi,Basic,11.0,108600.0,298300.0,3.7,2026-02-20,N,sports,2023-03-11,customer495@example.com,1,50대,Medium
CUST100924,Female,38.0,Incheon,Basic,12.0,126400.0,646800.0,4.4,2026-01-05,Y,fashion,2021-03-18,customer924@example.com,1,30대,High
CUST100358,Female,41.0,Gyeonggi,Basic,8.0,66300.0,120700.0,4.5,2026-04-04,Y,fashion,2023-09-22,customer358@example.com,0,40대,Low
CUST100029,Female,42.0,Daegu,Basic,4.0,65900.0,1075975.0,3.7,2026-01-12,Y,electronics,2023-02-17,customer29@example.com,0,40대,High
CUST101035,Female,40.0,Seoul,Silver,11.0,137700.0,581100.0,3.8,2026-06-21,Y,fashion,2022-08-10,customer1035@example.com,1,40대,High
CUST100012,Female,32.0,Seoul,Basic,8.0,91500.0,236200.0,4.8,2026-05-03,Y,fashion,2025-12-18,customer12@example.com,1,30대,Medium
CUST100387,Female,32.0,Seoul,Basic,6.0,49700.0,54300.0,2.2,2026-01-17,N,sports,2024-01-15,customer387@example.com,0,30대,Low
CUST100243,Female,23.0,Gyeonggi,Basic,12.0,54400.0,117200.0,5.0,2026-05-23,N,food,2024-12-22,customer243@example.com,0,20대 이하,Low
CUST100235,Female,18.0,Gyeonggi,Basic,5.0,28900.0,31300.0,4.8,2026-04-08,N,fashion,2022-06-24,customer235@example.com,0,20대 이하,Low
CUST100102,Female,56.0,Daejeon,Silver,11.0,86600.0,198800.0,4.9,2026-06-04,N,fashion,2021-08-09,customer102@example.com,1,50대,Medium
CUST100422,Female,46.0,Gyeonggi,gold,13.0,133700.0,374300.0,3.6,2026-04-05,N,beauty,2021-04-19,customer422@example.com,1,40대,Medium
CUST100530,Female,38.0,Gyeonggi,Gold,11.0,118300.0,439300.0,3.7,2026-03-24,Y,sports,2022-04-15,customer530@example.com,1,30대,Medium
CUST101145,Female,36.0,Daegu,Basic,9.0,27100.0,75000.0,3.3,2026-04-19,N,home,2020-09-18,customer1145@example.com,1,30대,Low
CUST100031,Female,52.0,Seoul,Basic,16.0,176400.0,1075975.0,3.3,2026-03-29,N,fashion,2024-05-20,customer31@example.com,1,50대,High
CUST101061,Female,32.0,Daejeon,Basic,12.0,113000.0,595700.0,4.5,2026-04-24,Y,sports,2025-02-12,customer1061@example.com,1,30대,High
CUST100948,Female,29.0,Daejeon,Silver,6.0,10500.0,23400.0,2.5,2026-03-16,N,fashion,2025-02-01,customer948@example.com,0,20대 이하,Low
CUST101195,Female,48.0,Gwangju,Gold,8.0,112500.0,486700.0,3.3,2026-04-05,N,food,2025-06-30,customer1195@example.com,1,40대,Medium
CUST100802,Female,56.0,Seoul,Gold,11.0,144000.0,654000.0,2.3,2026-06-01,Y,beauty,2021-10-06,customer802@example.com,0,50대,High
CUST100310,Female,61.0,Incheon,Basic,9.0,45500.0,92200.0,3.3,2026-06-02,Y,sports,2025-03-28,customer310@example.com,0,60대 이상,Low
CUST100543,Female,35.0,Gyeonggi,Basic,6.0,101700.0,190400.0,3.2,2026-02-27,Y,electronics,2024-05-27,customer543@example.com,0,30대,Medium
CUST100080,Female,23.0,Seoul,Silver,9.0,154000.0,294700.0,2.4,2026-06-01,Y,food,2022-11-16,customer80@example.com,0,20대 이하,Medium
CUST100762,Female,50.0,Seoul,Silver,6.0,114700.0,229400.0,4.1,2026-06-06,N,food,2022-12-14,customer762@example.com,0,50대,Medium
CUST100149,Female,38.0,Gwangju,Gold,5.0,240000.0,440500.0,3.4,2026-01-08,Y,electronics,2024-09-15,customer149@example.com,1,30대,Medium
CUST100718,Female,42.0,Seoul,Silver,11.0,83400.0,481600.0,3.8,2026-02-19,Y,home,2022-07-15,customer718@example.com,1,40대,Medium
CUST100584,Female,34.0,Seoul,Basic,16.0,91800.0,283000.0,3.6,2025-08-29,N,food,2024-09-13,customer584@example.com,1,30대,Medium
CUST100689,Female,50.0,Gyeonggi,Silver,7.0,61200.0,136300.0,3.6,2026-06-04,N,food,2024-08-17,customer689@example.com,0,50대,Low
CUST100951,Female,40.0,Busan,Basic,11.0,89600.0,571000.0,2.3,2026-03-02,Y,food,2023-12-19,customer951@example.com,1,40대,High
CUST100707,Female,29.0,Seoul,Basic,6.0,95300.0,184900.0,4.5,2026-05-28,Y,beauty,2021-08-24,customer707@example.com,0,20대 이하,Low
CUST100032,Female,54.0,Daegu,Silver,9.0,125800.0,585100.0,3.4,2026-05-19,N,fashion,2025-10-05,customer32@example.com,1,50대,High
CUST100674,Female,51.0,Daegu,Basic,13.0,73700.0,157500.0,3.8,2026-03-12,N,sports,2024-10-25,customer674@example.com,1,50대,Low
CUST100068,Female,47.0,Daejeon,VIP,9.0,254775.0,717100.0,3.1,2026-05-13,N,home,2025-12-11,customer68@example.com,1,40대,High
CUST100216,Female,39.0,Incheon,Gold,9.0,188000.0,742200.0,4.0,2026-06-01,N,home,2023-05-16,customer216@example.com,1,30대,High
CUST100557,Female,31.0,Gwangju,Gold,3.0,137100.0,289900.0,5.0,2026-05-18,N,home,2024-08-20,customer557@example.com,1,30대,Medium
CUST100650,Female,22.0,Daejeon,Basic,8.0,72200.0,131200.0,4.0,2026-04-21,N,fashion,2022-12-28,customer650@example.com,0,20대 이하,Low
CUST100118,Female,58.0,Seoul,VIP,8.0,135300.0,134900.0,3.0,2026-01-19,Y,fashion,2023-12-09,customer118@example.com,1,50대,Low
CUST100417,Female,35.0,Daegu,Basic,14.0,119800.0,679800.0,4.6,2026-03-26,Y,electronics,2021-09-18,customer417@example.com,1,30대,High
CUST100832,Female,53.0,Gyeonggi,Gold,11.0,74400.0,265800.0,5.0,2026-05-11,N,sports,2021-07-27,customer832@example.com,1,50대,Medium
CUST101157,Female,36.0,Seoul,Basic,9.0,58900.0,55000.0,1.1,2026-05-09,Y,food,2025-11-26,customer1157@example.com,0,30대,Low
CUST100639,Female,38.0,Gyeonggi,Basic,17.0,131200.0,661800.0,2.5,2026-05-12,Y,home,2024-03-01,customer639@example.com,1,30대,High
CUST100333,Female,29.0,Gyeonggi,Basic,9.0,43700.0,93100.0,4.8,2026-05-18,N,food,2023-01-22,customer333@example.com,1,20대 이하,Low
CUST100957,Female,34.0,Incheon,Basic,9.0,145900.0,271200.0,3.4,2025-12-24,Y,beauty,2021-01-26,customer957@example.com,0,30대,Medium
CUST101319,Female,44.0,Daejeon,Basic,11.0,95700.0,309200.0,4.3,2026-06-06,N,fashion,2020-10-26,customer1319@example.com,1,40대,Medium
CUST100180,Female,34.0,Gyeonggi,Silver,11.0,162500.0,852300.0,2.9,2026-04-12,Y,beauty,2021-09-26,customer180@example.com,0,30대,High
CUST101407,Female,29.0,Incheon,Gold,8.0,173400.0,487300.0,3.5,2026-02-02,Y,home,2022-11-01,customer1407@example.com,1,20대 이하,Medium
CUST100098,Female,38.0,Gyeonggi,Basic,9.0,36000.0,103000.0,2.9,2026-06-04,N,food,2025-10-12,customer98@example.com,0,30대,Low
CUST100015,Female,33.0,Gwangju,Basic,17.0,178400.0,1075975.0,3.7,2026-05-22,Y,electronics,2022-02-19,customer15@example.com,1,30대,High
CUST100227,Female,47.0,Seoul,Basic,9.0,56400.0,196400.0,3.7,2026-06-22,Y,home,2021-08-05,customer227@example.com,0,40대,Medium
CUST100072,Female,56.0,Gyeonggi,Basic,7.0,83600.0,237400.0,3.9,2026-04-10,N,home,2025-08-18,customer72@example.com,0,50대,Medium
CUST100027,Female,27.0,Gwangju,Silver,8.0,147300.0,491600.0,3.4,2026-06-16,N,electronics,2024-06-21,customer27@example.com,0,20대 이하,Medium
CUST100565,Female,26.0,Seoul,Gold,17.0,242400.0,1075975.0,3.5,2026-04-11,Y,fashion,2024-03-14,customer565@example.com,1,20대 이하,High
CUST100017,Female,25.0,Seoul,VIP,11.0,180600.0,598800.0,4.1,2026-01-05,N,fashion,2021-02-27,customer17@example.com,1,20대 이하,High
CUST100323,Female,26.0,Daegu,Silver,4.0,138900.0,139600.0,3.1,2026-06-23,Y,home,2022-03-30,customer323@example.com,0,20대 이하,Low
CUST100412,Female,53.0,Seoul,Basic,10.0,130000.0,595400.0,4.1,2026-04-27,Y,electronics,2025-01-01,customer412@example.com,1,50대,High
CUST101074,Female,43.0,Seoul,Gold,12.0,184500.0,549000.0,2.8,2026-06-21,Y,beauty,2020-07-20,customer1074@example.com,1,40대,High
CUST100768,Female,46.0,Daegu,Basic,7.0,145500.0,128600.0,3.3,2026-05-03,Y,electronics,2025-02-01,customer768@example.com,1,40대,Low
CUST100193,Female,18.0,Daejeon,silver,7.0,106100.0,107800.0,4.0,2026-04-04,N,electronics,2024-01-10,customer193@example.com,0,20대 이하,Low
CUST100245,Female,39.0,Incheon,Basic,6.0,47700.0,43500.0,3.9,2026-05-08,Y,fashion,2022-12-30,customer245@example.com,1,30대,Low
CUST100321,Female,45.0,Seoul,Basic,7.0,97400.0,97700.0,3.3,2026-06-12,Y,home,2024-07-06,customer321@example.com,0,40대,Low
CUST101256,Female,32.0,Busan,Gold,12.0,201500.0,1075975.0,3.9,2026-05-16,N,fashion,2024-12-20,customer1256@example.com,1,30대,High
CUST101006,Female,47.0,Seoul,VIP,4.0,235100.0,520300.0,1.6,2026-05-15,N,electronics,2023-03-31,customer1006@example.com,0,40대,Medium
CUST101116,Female,35.0,Gyeonggi,Basic,12.0,89600.0,372200.0,3.9,2026-04-27,N,food,2024-01-28,customer1116@example.com,1,30대,Medium
CUST101491,Female,18.0,Seoul,Basic,9.0,108000.0,275900.0,2.0,2026-04-07,Y,electronics,2021-10-04,customer1491@example.com,0,20대 이하,Medium
CUST100546,Female,36.0,Daegu,Basic,13.0,124400.0,216600.0,3.4,2026-02-24,N,food,2020-07-25,customer546@example.com,0,30대,Medium
CUST101259,Female,33.0,Gyeonggi,Silver,10.0,154000.0,343100.0,5.0,2026-05-13,N,fashion,2021-02-26,customer1259@example.com,0,30대,Medium
